,label,name,party,wahlkreis,x,y,0,1,2,3,4,5,6,7,digital,familie,natur,arbeit
10,gunther-gorlich,Günther Alfred Görlich,FREIE WÄHLER,München-Süd,-84.508484,15.36963,0.00886268312818325,0.009806307276741724,0.0,0.0068073746209809365,0.0,0.003931200391215506,0.010529933204450405,0.0,0.0,0.0,0.0,0.024571116608103058
11,lucia-maria-fischer,Lucia Maria Fischer,ÖDP,Oberallgäu,-697.2417,136.57516,0.0,0.0,0.0007928084995320171,0.12793887218154154,0.0,0.07452622856322362,0.0,0.0,0.0,0.0,0.07007663681125914,0.009760212838539258
12,sebastian-knopf,Sebastian Knopf,DIE LINKE,Worms,139.12263,-606.0086,0.0,0.007428603059807377,0.01525950599083256,0.07334346729697787,0.0,0.0,0.16852377653520162,0.0,0.003318923577892041,0.007468461346556353,0.00588389547282241,0.011192546135674487
13,dr-hans-joachim-schabedoth,Dr. Hans Joachim Schabedoth,SPD,Hochtaunus,20.835814,-145.6884,0.06323058044148949,0.004673278168100145,0.027938585573992446,0.016872185377025242,0.0,0.01825840876326659,0.011738261666572356,0.042822165309791896,0.010333557709580232,0.034768729458758675,0.026192137684773086,0.0378775799962341
14,evelyn-edler,Evelyn Edler,DIE LINKE,Harz,296.73193,107.65475,0.034810732621488184,0.0852576421412643,0.02386886740511672,0.03010570949060276,0.0,0.0,0.07835328009743578,0.009432411145388486,0.0,0.02688884922853776,0.0,0.096383068752935
15,christina-steinhausen,Christina Steinhausen,FDP,Ahrweiler,-232.5432,-506.44647,0.009436246893412268,0.0,0.0019747829620475428,0.020679052885311824,0.0,0.020158162165633937,0.07892335823734963,0.13839463264001126,0.025939018974630364,0.05299726638707604,0.03189158096655037,0.009328638862952144
16,hannes-grabner,Hannes Gräbner,SPD,Bad Tölz - Wolfratshausen - Miesbach,435.95154,286.27158,0.11485237964906996,0.001550917343672724,0.1364866955450861,0.0,0.0,0.0,0.04455657359107385,0.0006700834149185174,0.0,0.1323167014588284,0.0,0.09237516802092488
17,claudia-moll,Claudia Moll,SPD,Aachen II,754.4812,25.601274,0.1146826043735936,0.07767095228630401,0.018350799457661326,0.0,0.0,0.0,0.0,0.013180278136050938,0.0,0.02042460168746177,0.016147327413413484,0.12812617227060494
18,jan-niclas-gesenhues,Jan-Niclas Gesenhues,DIE GRÜNEN,Steinfurt III,341.80386,-81.355774,0.013368105014139087,0.0,0.10994595104596236,0.0,0.0318140333817066,0.16804481221539078,0.0,0.10885510793539699,0.059758640051327964,0.078442653931541,0.14179682690528278,0.021584589093940454
19,christoph-matschie-2,Christoph Matschie,SPD,Jena - Sömmerda - Weimarer Land I,904.0908,-121.16015,0.202372601696652,0.04848925716559782,0.030802380925510287,0.0,0.0,0.051396292082419005,0.0,0.07670885123179373,0.041276321955992096,0.14830898571060958,0.025621667120756253,0.14062428893401147
