,label,name,party,wahlkreis,x,y,digital,familie,demokratie,natur,arbeit
58,alexander-muller-2,Alexander Müller,FDP,Rheingau-Taunus - Limburg,-484.66098,-683.8672,0.05994212427281807,0.1007642206713941,0.017881865545391833,0.0,0.05121691552051198
59,dr-petra-sitte,Dr. Petra Sitte,DIE LINKE,Halle,293.53387,411.9833,0.006710216147727541,0.04283170852126061,0.020809551342280914,0.018113157315225184,0.0803721860123631
60,jana-wolff,Jana Wolff,FREIE WÄHLER,Schwerin - Ludwigslust-Parchim I - Nordwestmecklenburg I,-889.3944,569.38477,0.0,0.056175755001824285,0.10946024865629536,0.016714113662341767,0.01851239817742584
61,karlheinz-binner,Karlheinz Binner,ÖDP,Weiden,-797.0942,114.491,0.0,0.03881048050741398,0.0462794948705756,0.02757422261672508,0.034405022544383386
62,frank-albrecht,Frank Albrecht,FDP,Duisburg II,-686.813,-744.0275,0.0898563339189836,0.07720950245398757,0.03972618360714732,0.0,0.03160882159096555
63,saskia-jurgens,Saskia Jürgens,DIE LINKE,Aalen - Heidenheim,912.90314,473.7468,0.0017699563991572906,0.034572611781880085,0.014781002107933096,0.015686239475762916,0.1624784138003999
64,josephine-ortleb,Josephine Ortleb,SPD,Saarbrücken,983.69415,-332.18213,0.01679627741234066,0.11219106754501026,0.04387537464439135,0.004287764771941454,0.06395919340875346
65,peter-pernsteiner,Peter Pernsteiner,FDP,Erding - Ebersberg,-604.391,327.07855,0.008211503460299323,0.0760483206911347,0.0568943599176757,0.018048235742512374,0.03595184893681735
66,ralf-kapschack,Ralf Kapschack,SPD,Ennepe-Ruhr-Kreis II,1305.9742,-139.35634,0.015524675849033632,0.20150061178078668,0.023411506015195004,0.012169950464281102,0.17212091096360654
67,astrid-mannes,Dr. Astrid Mannes,CDU,Darmstadt,234.50006,-908.3788,0.0112264180611334,0.010906397172817814,0.036896042926308485,0.0,0.011019282347812001
68,stefan-reckin,Stefan Reckin,DIE PARTEI,Oberhavel - Havelland II,-379.1997,16.559048,0.0,0.0,0.0444497469414938,0.0,0.0
69,jens-low,Dipl.Ing.Forst(FH) Jens Löw,SPD,Schwarzwald-Baar,-573.977,-209.04662,0.0013247742974994785,0.03372165878869414,0.07075080045538194,0.027432912368665945,0.05839344459270275
70,thomas-dyhr,Thomas Dyhr,DIE GRÜNEN,Uckermark - Barnim I,330.39975,-62.90116,0.0,0.04717326841108137,0.02626732941435945,0.11479048652673444,0.04317306073789712
71,georg-tschammer-osten,Georg Friedrich Alexander Tschammer-Osten,Parteilos,Vorpommern-Rügen - Vorpommern-Greifswald I,785.7828,-57.13369,0.0,0.1157516034439005,0.0,0.0,0.0
72,hannes-draeger,Hannes Draeger,DIE LINKE,Steinfurt I - Borken I,771.2919,460.48782,0.008835875091389847,0.039863343957531855,0.008627135220607016,0.0,0.12074975905594992
73,simon-pschorr,Simon Pschorr,DIE LINKE,Konstanz,493.24924,589.6834,0.0041961071747473756,0.0,0.007059334730796408,0.015766617731749654,0.14020405846332887
74,stefan-keuter,Diplom-Betriebswirt (FH) Stefan Keuter,AfD,Essen III,-394.1471,299.1007,0.0,0.021584613915459273,0.03062651872304742,0.0,0.014025467990892377
75,claudia-muller,Claudia Müller,DIE GRÜNEN,Vorpommern-Rügen - Vorpommern-Greifswald I,240.78958,92.95995,0.0,0.046499308297661135,0.016909460019374677,0.04396585423170639,0.0075832300524406
76,olaf-barton,Olaf Barton,Parteilos,Warendorf,-1094.3647,449.36557,0.0,0.0,0.20105690924210426,0.0,0.0
77,nina-eisenhardt,Nina Eisenhardt,DIE GRÜNEN,Groß-Gerau,389.31168,-103.043,0.01644053412756419,0.015461673201358463,0.017623778941202862,0.1127899004051627,0.028523598826933907
78,marilyn-heib,Dipl. Ing. Marilyn Heib,DIE LINKE,Saarlouis,330.82846,265.67377,0.0,0.010232915133180177,0.00623997258237333,0.08085305333787042,0.06884699297818518
79,anke-domscheit-berg,Anke Domscheit-Berg,DIE LINKE,Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I,-664.7188,-459.795,0.11739120037321656,0.03290980127521678,0.04808879513916013,0.0018333501074177055,0.08087908509115131
80,martin-diedenhofen,Martin Diedenhofen,SPD,Neuwied,979.4419,147.3998,0.01876135771232413,0.13331673372392536,0.0976088694193932,0.048164022488244494,0.1600623125804637
81,steffen-grosse,Steffen Große,FREIE WÄHLER,Görlitz,187.5874,-524.3236,0.0,0.032879758240059634,0.030561519145059057,0.008409325781160756,0.015100150293780912
82,meike-roden,Meike Roden,DIE GRÜNEN,Chemnitz,21.847029,-147.60506,0.003493133904080421,0.035567918971987036,0.011395353821502896,0.01921786261313161,0.01416549897291283
83,martin-hofmann,Martin Hofmann,FDP,Weiden,-33.17807,-273.6551,0.018763242290560242,0.06343173218089476,0.017017702819936184,0.011447088480820398,0.054221797162441014
84,hermann-siebdrat,Prof. Dr. Hermann Siebdrat,FDP,Siegen-Wittgenstein,-676.9902,-673.69806,0.050338519426295115,0.04356956003681155,0.02990775742727593,0.009157674241730264,0.033287777114444035
85,angela-merkel,Dr. Angela Merkel,CDU,Vorpommern-Rügen - Vorpommern-Greifswald I,-577.16266,-833.6586,0.02574100076153647,0.10157197509939372,0.041275587196704634,0.009771507098107613,0.0659231873185686
86,matthias-schmidt,Matthias Schmidt,SPD,Berlin-Treptow-Köpenick,86.75738,-115.09346,0.029818272278912324,0.0,0.01358331256441837,0.0,0.007125344300202971
87,christian-vey,Christian Vey,PIRATEN,Stadt Hannover I,-1122.7987,156.56003,0.02261937476465152,0.06578617005064946,0.13431893141552773,0.0,0.0
88,johann-albrecht-rommel,Johann-Albrecht Rommel,MLPD,Neuwied,131.8473,712.851,0.009272498813953691,0.009946849637140504,0.03163173148743978,0.007486475373359295,0.024398454471170238
89,andreas-schwarz,Andreas Schwarz,SPD,Bamberg,815.24335,-193.89433,0.0,0.08709818189106769,0.044900849017412856,0.0,0.004043603233647004
90,dr-dietmar-bartsch,Dr. Dietmar Bartsch,DIE LINKE,Rostock - Landkreis Rostock II,1023.4559,414.42532,0.02723200423845,0.03345969258229836,0.04354958588673154,0.004024154094440087,0.1324899122473981
91,christoph-plos,Dr. Christoph Ploß,CDU,Hamburg-Nord,-649.3143,-856.18604,0.038021871706313236,0.08012636448552153,0.0,0.010819135186852557,0.01716057928679063
92,sigrid-hupach,Sigrid Hupach,DIE LINKE,Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis,276.66174,-851.8908,0.0138303988636303,0.0,0.02193265237719706,0.0,0.006413021960358737
93,eric-holtschke,Eric Holtschke,SPD,Vogtlandkreis,309.46542,-516.6535,0.03606865911611603,0.023463506127864873,0.02784855844978949,0.07059570734065188,0.1110391525312177
